A2M
ABCA8
ABCC11
ABCC8
ACACB
ACAN
ACE2
ACER1
ACHE
ACKR1
ACP5
ACTA2
ACTB
ACTG2
ACTN1
ADAM12
ADAM28
ADAM9
ADAMTS1
ADD2
ADGRE1
ADGRE5
ADGRL4
ADH1B
ADH1C
ADH4
ADIPOQ
ADRA2A
AFAP1L2
AGER
AGR3
AGTR1
AHNAK2
AHSP
AIF1
AIM2
AIRE
AKAP5
AKR1C1
AKR1C3
AKR7A3
AKT1
ALAS2
ALDH1A3
ALDH1B1
ALOX5AP
ALPL
AMY2A
ANGPT2
ANK2
ANKRD28
ANKRD29
ANKRD30A
ANO7
ANPEP
ANXA1
ANXA13
ANXA3
APCDD1
APOA5
APOB
APOBEC3A
APOBEC3B
APOC1
APOD
APOE
APOLD1
AQP1
AQP2
AQP3
AQP8
AQP9
AR
AREG
ARFGEF3
ARG1
ARHGAP24
ARHGDIB
ARID1A
ARPC3
ARPC5
ART4
ARX
ASAH1
ASCL1
ASCL2
ASCL3
ASPN
ATF3
ATM
ATOH1
ATP5F1B
ATP5F1E
ATP5MC2
ATP5MD
AVIL
AVPR1A
AXIN2
AXL
AZGP1
B3GNT6
BACE2
BAMBI
BANK1
BASP1
BATF
BATF3
BBOX1
BCAN
BCAS1
BCL2
BCL2A1
BCL2L11
BEST2
BEST4
BHLHE41
BIRC3
BIRC5
BLK
BMP2
BMP4
BMP5
BMX
BRAF
BRCA2
BTF3
BTNL9
C11orf96
C15orf48
C1QA
C1QB
C1QBP
C1QC
C1R
C1S
C1orf162
C1orf194
C1orf54
C20orf85
C2orf42
C2orf88
C3
C3AR1
C5AR1
C5orf46
C6orf118
C6orf132
C7
CA1
CA2
CA4
CA7
CADM1
CADM2
CADPS
CALB2
CALCRL
CALD1
CALU
CAP1
CAPN8
CAPNS2
CAST
CAV1
CAVIN1
CAVIN2
CBFA2T3
CCDC39
CCDC6
CCDC78
CCDC80
CCL11
CCL13
CCL14
CCL15
CCL16
CCL19
CCL2
CCL20
CCL21
CCL22
CCL26
CCL27
CCL28
CCL3
CCL3L1
CCL4
CCL5
CCL7
CCL8
CCNB2
CCND1
CCND3
CCPG1
CCR1
CCR2
CCR3
CCR4
CCR5
CCR6
CCR7
CD14
CD163
CD177
CD19
CD1A
CD1B
CD1C
CD1E
CD2
CD207
CD24
CD247
CD27
CD274
CD276
CD28
CD300E
CD34
CD36
CD37
CD38
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD44
CD47
CD5
CD52
CD5L
CD6
CD63
CD68
CD69
CD7
CD70
CD74
CD79A
CD79B
CD80
CD83
CD86
CD8A
CD8B
CD9
CD93
CDC20
CDC42EP1
CDCA7
CDH1
CDH11
CDH16
CDH19
CDH2
CDH5
CDHR5
CDK1
CDK12
CDK15
CDK2
CDK4
CDK6
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CDX1
CDX2
CEACAM1
CEACAM5
CEACAM6
CEACAM7
CEACAM8
CENPF
CENPV
CEP126
CES1
CES2
CFAP53
CFB
CFC1
CFHR1
CFHR3
CFTR
CHAD
CHGA
CHGB
CHI3L1
CHI3L2
CHIT1
CHP2
CHRM3
CIB1
CKAP4
CLCA1
CLCA2
CLCA4
CLDN1
CLDN10
CLDN4
CLDN5
CLEC10A
CLEC12A
CLEC14A
CLEC4E
CLEC9A
CLECL1
CLIC6
CLU
CMA1
CMBL
CMKLR1
CNMD
CNN1
CNN3
COCH
COL10A1
COL11A1
COL11A2
COL17A1
COL19A1
COL1A1
COL1A2
COL2A1
COL5A2
COL6A1
COL6A2
COL6A3
COL9A2
COMMD6
COMP
CORO1A
COTL1
CPA3
CPE
CPVL
CR2
CRABP2
CREB3L1
CRHBP
CRISP3
CRISPLD2
CRYAB
CRYBA2
CSF1
CSF1R
CSF2RA
CSF3
CSPG4
CST7
CTH
CTHRC1
CTLA4
CTNNB1
CTSB
CTSD
CTSE
CTSG
CTSK
CTSL
CTSS
CTSW
CTSZ
CTTN
CX3CR1
CXADR
CXCL1
CXCL10
CXCL11
CXCL12
CXCL13
CXCL14
CXCL16
CXCL2
CXCL3
CXCL5
CXCL6
CXCL9
CXCR1
CXCR2
CXCR3
CXCR4
CXCR5
CXCR6
CYB561A3
CYB5R3
CYBB
CYP1A1
CYP1B1
CYP2A7
CYP2B6
CYP2F1
CYP3A4
CYP4B1
CYTIP
Clonotype1_TRA1
Clonotype1_TRA2
Clonotype1_TRB
DAB2
DAPK3
DCN
DCT
DEFB1
DEPP1
DERL3
DES
DGKA
DIRAS3
DKK1
DKK3
DLK1
DLX5
DMBT1
DMKN
DMP1
DNAAF1
DNAJC12
DNASE1L3
DNTTIP1
DOCK10
DPEP1
DPT
DPYSL3
DSC1
DSC2
DSP
DST
DUOX2
DUSP1
DUSP2
DUSP5
DYRK3
EBPL
ECSCR
EDN1
EDNRB
EEF1B2
EEF1D
EGF
EGFL7
EGFR
EGR3
EHF
EIF2S2
EIF4A1
EIF4EBP1
ELF5
EMP3
ENAH
ENG
ENPP1
ENTPD1
EOMES
EPAS1
EPCAM
EPHB3
EPO
EPOR
EPYC
ERBB2
ERBB3
ERBB4
ERG
ERN1
ESM1
ESR1
ETS1
ETV1
F3
FABP1
FABP2
FABP3
FABP4
FADD
FAM107B
FAM210B
FAM49A
FAP
FAS
FASLG
FASN
FBLN1
FBN1
FBP1
FBXO7
FCER1A
FCER1G
FCER2
FCGR1A
FCGR2A
FCGR2B
FCGR3A
FCMR
FCN1
FCN2
FCRL1
FCRL3
FCRL5
FCRLA
FERMT1
FEV
FEZ1
FFAR4
FGF2
FGFBP1
FGFBP2
FGFR1
FGL2
FGR
FHDC1
FHIT
FHL1
FHL2
FKBP11
FKBP8
FLNA
FLNB
FLT1
FLT3LG
FN1
FOS
FOXA1
FOXA3
FOXC2
FOXI1
FOXJ1
FOXP1
FOXP2
FOXP3
FOXP4
FRZB
FSCN1
FSTL1
FSTL3
FXYD2
FXYD5
FYB1
FZD7
G0S2
GAD1
GADD45A
GALNT5
GALNT8
GAS6
GATA2
GATA3
GATM
GCG
GDF15
GEM
GHRL
GIMAP7
GJB2
GKN2
GLIPR1
GLIPR2
GLYATL1
GNA11
GNAS
GNG11
GNLY
GNPTAB
GPC1
GPC3
GPR157
GPR171
GPR183
GPR34
GPR4
GPRC5A
GPRC5C
GPRIN3
GPX2
GREM1
GREM2
GRTP1
GSTA1
GUCA2A
GUCA2B
GYPA
GYPB
GYPC
GZMA
GZMB
GZMH
GZMK
HADHB
HAMP
HAPLN1
HAVCR2
HBD
HBE1
HDC
HEMGN
HEPACAM2
HES1
HES4
HES6
HHIP
HHLA2
HIF1A
HIGD1B
HINT1
HIST1H4C
HLA-B
HLA-DPB1
HLA-DQB2
HLA-DRA
HMGA1
HMGB2
HMGCS2
HMGN2
HNRNPA2B1
HOOK2
HOXA10
HOXD13
HOXD8
HOXD9
HPGDS
HPX
HRC
HRCT1
HSP90B1
HSPA8
HTR3E
HTRA1
IBSP
ICAM1
ICOS
ICOSLG
ID1
ID2
ID4
IDO1
IER5
IFI27
IFI6
IFIT2
IFIT3
IFITM1
IFITM2
IFITM3
IFNAR1
IFNB1
IFNG
IFNGR1
IFNL1
IGF1
IGFBP2
IGFBP3
IGFBP5
IGFBP7
IGHG1
IGHG2
IGHG3
IGHG4
IGHGP
IGHM
IGKC
IGLC3
IGLL1
IGSF6
IL10
IL10RA
IL12B
IL12RB2
IL13
IL13RA2
IL15
IL15RA
IL17A
IL17RB
IL18
IL1A
IL1B
IL1R1
IL1R2
IL1RAP
IL1RAPL1
IL1RL1
IL1RN
IL2
IL22
IL22RA1
IL22RA2
IL23A
IL2RA
IL2RB
IL2RG
IL32
IL33
IL3RA
IL4
IL4I1
IL4R
IL5
IL6
IL7R
IMPDH2
INHBA
INMT
INS
INSIG1
INSL5
INSM1
IQGAP2
IRF1
IRF2
IRF3
IRF4
IRF5
IRF8
IRX3
ISG15
ISL1
ITGA1
ITGA5
ITGA6
ITGA8
ITGAE
ITGAM
ITGAX
ITGB1
ITK
ITLN1
ITM2A
ITM2C
JAK1
JAK2
JAK3
JCHAIN
JUN
JUNB
JUP
KARS
KBTBD7
KCNAB1
KCNH2
KCNK3
KCNMA1
KCNN3
KDM5A
KDM5B
KDR
KIF23
KIF5C
KIT
KLF5
KLF6
KLK1
KLK11
KLK7
KLRB1
KLRC1
KLRC2
KLRD1
KLRF1
KLRG1
KLRK1
KMT2C
KNG1
KRAS
KRT1
KRT14
KRT15
KRT16
KRT17
KRT18
KRT2
KRT20
KRT23
KRT5
KRT6B
KRT7
KRT8
KRT80
KRT86
KRTAP2-3
KRTCAP3
KRTDAP
L1TD1
LAG3
LAMA2
LAMB3
LAMC2
LAMP1
LAMP2
LAMP3
LAPTM5
LARS
LCK
LCN2
LCT
LDHB
LEF1
LEFTY1
LENG8
LEPR
LEPROTL1
LGALS2
LGALS9
LGALSL
LGI4
LGR5
LIF
LILRA4
LILRA5
LILRB2
LILRB4
LINC00636
LMCD1
LMOD2
LOR
LOX
LPL
LPXN
LRATD1
LRMP
LRP5
LRP6
LRRC15
LSAMP
LSP1
LST1
LTB
LTBP2
LTF
LUM
LY6D
LY6E
LY86
LYPD3
LYVE1
LYZ
MAF
MAL2
MALL
MAMDC2
MAOB
MAP3K8
MARCKSL1
MARCO
MAT1A
MATN4
MB
MBP
MCEMP1
MCF2L
MDM2
MECOM
MEDAG
MEF2C
MEIS2
MEPE
MEST
MET
MFAP4
MFAP5
MGP
MIA
MIR205HG
MIS18BP1
MITF
MKI67
MLANA
MLPH
MMP1
MMP10
MMP11
MMP12
MMP2
MMP27
MMP3
MMP7
MMP8
MMP9
MMRN1
MMRN2
MNDA
MORF4L1
MPEG1
MPZ
MRC1
MS4A1
MS4A12
MS4A2
MS4A4A
MS4A6A
MS4A7
MS4A8
MSLN
MSX1
MT1A
MT1F
MT1G
MT1X
MTRNR2L11
MUC12
MUC17
MUC5AC
MUC5B
MUC6
MX1
MYBPC1
MYC
MYCT1
MYD88
MYDGF
MYH11
MYH14
MYH9
MYL9
MYLK
MYO5B
MYOC
MYOM1
MZB1
NARS
NAT8
NCAM1
NCEH1
NDUFA4L2
NDUFC2
